instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
4	r4.2xlarge	32	244000	9530	1000	10000000	92	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	9530	1000	10000000	96	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	9530	1000	10000000	96	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	9530	1000	10000000	96	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	9530	1000	10000000	116	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	9630	100	100000000	116	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	9630	100	100000000	116	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	9630	100	100000000	118	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	9630	100	100000000	118	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	9630	100	100000000	120	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	11556	100	120000000	130	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	11556	100	120000000	132	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	11556	100	120000000	134	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	11556	100	120000000	134	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	11556	100	120000000	134	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	13482	100	140000000	148	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	13482	100	140000000	150	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	13482	100	140000000	150	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	13482	100	140000000	150	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	13482	100	140000000	152	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	15408	100	160000000	162	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	15408	100	160000000	166	0.621439738915361	0.699904926309755	0.683905823195575
