instance_count	machine_type	slots	memory	data_size_MB	use_dense	examples	features	pages	classes	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
8	m4.2xlarge	64	256000	bigdata	False	10000	100000	20000000	20000	897	0.73813508679461	0.917837907061713	0.817114731721182
8	m4.2xlarge	64	256000	bigdata	False	10000	100000	20000000	20000	817	0.73813508679461	0.917837907061713	0.817114731721182
8	m4.2xlarge	64	256000	bigdata	False	10000	100000	20000000	20000	931	0.73813508679461	0.917837907061713	0.817114731721182
8	m4.2xlarge	64	256000	bigdata	False	10000	100000	20000000	20000	822	0.73813508679461	0.917837907061713	0.817114731721182
8	m4.2xlarge	64	256000	bigdata	False	10000	100000	20000000	20000	727	0.73813508679461	0.917837907061713	0.817114731721182
8	m4.2xlarge	64	256000	huge	False	10000	1000	500000	100	462	0.73813508679461	0.917837907061713	0.817114731721182
8	m4.2xlarge	64	256000	huge	False	10000	1000	500000	100	457	0.73813508679461	0.917837907061713	0.817114731721182
8	m4.2xlarge	64	256000	huge	False	10000	1000	500000	100	434	0.73813508679461	0.917837907061713	0.817114731721182
8	m4.2xlarge	64	256000	huge	False	10000	1000	500000	100	448	0.73813508679461	0.917837907061713	0.817114731721182
8	m4.2xlarge	64	256000	huge	False	10000	1000	500000	100	476	0.73813508679461	0.917837907061713	0.817114731721182
8	m4.large	16	64000	bigdata	False	10000	100000	20000000	20000	3726	0.719976297083032	0.963352406209638	0.757775976316556
8	m4.large	16	64000	bigdata	False	10000	100000	20000000	20000	4385	0.719976297083032	0.963352406209638	0.757775976316556
8	m4.large	16	64000	bigdata	False	10000	100000	20000000	20000	4042	0.719976297083032	0.963352406209638	0.757775976316556
8	m4.large	16	64000	bigdata	False	10000	100000	20000000	20000	3570	0.719976297083032	0.963352406209638	0.757775976316556
8	m4.large	16	64000	bigdata	False	10000	100000	20000000	20000	3618	0.719976297083032	0.963352406209638	0.757775976316556
